project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,longitude,latitude,planning_area,subzone
GRACE COURT,7 WOO MON CHEW ROAD GRACE COURT SINGAPORE 455059,13405.797101449276,13405.797101449276,private,103.92897268031112,1.3143112615103345,BEDOK,FRANKEL
CHUAN TERRACE,31 CHUAN TERRACE CHUAN TERRACE SINGAPORE 558499,20223.523150612025,17421.246698136198,private,103.86723468301724,1.3623331221992327,SERANGOON,SERANGOON GARDEN
THE CRISTALLO,70 LORONG K TELOK KURAU THE CRISTALLO SINGAPORE 425687,14794.520547945203,14886.319706253764,private,103.91150900422858,1.3126629080602077,BEDOK,FRANKEL
FAME COURT,43 JALAN TUA KONG FAME COURT SINGAPORE 457242,20610.68702290076,20610.68702290076,private,103.92559804913724,1.3147125946672784,BEDOK,FRANKEL
LANDED HOUSING DEVELOPMENT in KEW HEIGHTS,40 KEW HEIGHTS SINGAPORE 466373,8993.257043439326,9834.323044806148,private,103.94933863876096,1.3188952029279335,BEDOK,BEDOK SOUTH
TEMBELING CENTRE,252 TEMBELING ROAD TEMBELING CENTRE SINGAPORE 423731,13736.263736263736,13385.25017985865,private,103.90536105049358,1.3065125277630452,MARINE PARADE,KATONG
MISTRAL PARK,30 JALAN ANGIN LAUT MISTRAL PARK SINGAPORE 489226,12289.915966386554,13222.167654736675,private,103.95552922928684,1.3393407219585367,TAMPINES,SIMEI
COUNTRY GRANDEUR,22 LORONG PUNTONG COUNTRY GRANDEUR SINGAPORE 576439,19145.03816793893,18351.210143394263,private,103.83132264787304,1.3605612937927547,BISHAN,UPPER THOMSON
LANDED HOUSING DEVELOPMENT in HUA GUAN AVENUE,11C HUA GUAN AVENUE HUA GUAN GARDENS SINGAPORE 589105,20515.39338654504,20795.661620280163,private,103.78470261942256,1.340442152066215,BUKIT TIMAH,SWISS CLUB
LANDED HOUSING DEVELOPMENT in PILLAI ROAD,15 PILLAI ROAD SINGAPORE 535904,18335.08956796628,18335.08956796628,private,103.8795345390912,1.3469090850559162,SERANGOON,UPPER PAYA LEBAR
