project_name,full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
LANDED HOUSING DEVELOPMENT in PAYA LEBAR STREET,30 PAYA LEBAR STREET SINGAPORE 535983,17971.751451011056,17971.751451011056,private,103.88491205491916,1.3393316770737538
LANDED HOUSING DEVELOPMENT in UPPER PAYA LEBAR ROAD,274 UPPER PAYA LEBAR ROAD PAYA LEBAR GARDENS SINGAPORE 534915,13883.468438234664,14529.21739542958,private,103.88285269723522,1.3441499379780086
CRESCENDO BUILDING,19 UPPER EAST COAST ROAD CRESCENDO BUILDING SINGAPORE 455209,12876.03305785124,12288.391636995788,private,103.92632960409506,1.3131267792115322
RADIX,18 JALAN WAKAFF RADIX SINGAPORE 428228,13773.584905660377,13584.594804883822,private,103.9114050175664,1.317935198367919
KOVAN RESIDENCES,3A KOVAN ROAD KOVAN RESIDENCES SINGAPORE 544918,14939.024390243903,15044.558591635869,private,103.88525140239527,1.3610780830618485
THE FLORENTINE,70 FLORENCE ROAD THE FLORENTINE SINGAPORE 549561,11789.775862068966,12181.857304759915,private,103.88600426941547,1.3662208211334035
EMERALD EAST,8D TANJONG RHU ROAD EMERALD EAST SINGAPORE 436892,16451.13136392206,16740.301216248397,private,103.88377660968129,1.2996229255132037
LANDED HOUSING DEVELOPMENT in JALAN PERNAMA,5 JALAN PERNAMA SINGAPORE 499239,8388.95778587545,8388.95778587545,private,103.96917717510165,1.353010458460971
8M RESIDENCES,8 MARGATE ROAD 8M RESIDENCES SINGAPORE 438049,22916.666666666668,22043.08422894532,private,103.88869348507139,1.2992894889049567
KOVAN ESQUIRE,47 KOVAN ROAD KOVAN ESQUIRE SINGAPORE 548132,11720.430107526881,12157.778880152942,private,103.88118245537666,1.3581662426731889
GRANDEUR 8,18 ANG MO KIO CENTRAL 3 GRANDEUR 8 SINGAPORE 567749,12222.222222222223,12621.764620867709,private,103.84672340509034,1.376437298613225
BLUWATERS 2,205 JALAN LOYANG BESAR BLUWATERS 2 SINGAPORE 509456,10034.061639577227,9363.680347645583,private,103.96390014470427,1.3800507957664512
LANDED HOUSING DEVELOPMENT in KOVAN ROAD,37 KOVAN ROAD KOVAN MELODY SINGAPORE 545018,14508.92857142857,14824.608072083176,private,103.88212565830676,1.3590249792140285
LANDED HOUSING DEVELOPMENT in JALAN SEAVIEW,137 JALAN SEAVIEW SEA VIEW PARK SINGAPORE 438429,16302.627413738526,16302.07518694418,private,103.89516915760191,1.2990962028440711
