full_address,median_price_per_sqm,mean_price_per_sqm,housing_type,latitude,longitude
859A TAMPINES AVE 5,4567.307692307692,4572.149652335531,public,1.35506307407851,103.938057162871
85A LOR 4 TOA PAYOH,4703.693815987934,4762.61748545572,public,1.33628483555575,103.849405829084
85B LOR 4 TOA PAYOH,4823.529411764706,4872.799500702137,public,1.33628535084804,103.848443058798
85C LOR 4 TOA PAYOH,4705.882352941177,4723.432098765432,public,1.33628570919032,103.8474794394
86 BEDOK NTH ST 4,4046.6208284420595,4056.5431270613226,public,1.33254084365722,103.93898934581
86 C'WEALTH CL,4922.413793103448,5058.66006390744,public,1.30438425657259,103.79934984603
86 DAWSON RD,10040.819277108432,10140.081487900092,public,1.29564903068441,103.810230517871
86 LOR 2 TOA PAYOH,6463.901689708142,6561.64937511008,public,1.33549135587104,103.847691358826
86 REDHILL CL,6016.949152542373,5945.168041330554,public,1.2869200622963,103.818673592235
86 TELOK BLANGAH HTS,7090.909090909091,7180.177768343286,public,1.27675646378157,103.808525245963
86 WHAMPOA DR,4545.454545454545,4563.896645021645,public,1.32313609086907,103.855871591303
860 JURONG WEST ST 81,4037.381825197762,4234.974064648247,public,1.34884898470825,103.696772486889
860 TAMPINES AVE 5,5472.602739726028,5695.28322362569,public,1.35546034663524,103.937595591612
860 WOODLANDS ST 83,3750.0,3983.501572327044,public,1.43945854001258,103.794016386736
860 YISHUN AVE 4,4220.076923076923,4319.6524686670755,public,1.4178225828294,103.839854472178
860A TAMPINES AVE 5,4326.923076923077,4326.923076923077,public,1.35546108029992,103.938650312162
860B TAMPINES AVE 5,5373.923076923077,5373.923076923077,public,1.35546083614203,103.937118935774
861 JURONG WEST ST 81,3908.450704225352,3858.406111203719,public,1.34955229409158,103.696708055975
861 TAMPINES AVE 5,4590.248334342823,4697.545063970172,public,1.35506437613521,103.937282370562
861 WOODLANDS ST 83,3692.031496062992,3856.122331491747,public,1.43966015258891,103.795235776713
861 YISHUN AVE 4,3783.7837837837837,4056.677969177969,public,1.41742619073159,103.839564162606
861A TAMPINES AVE 5,4619.719419924339,4766.630684405306,public,1.3546866830668,103.937284489755
862 JURONG WEST ST 81,4006.363548042359,4075.719106027821,public,1.35014247449718,103.69668459365
862 TAMPINES ST 83,4663.461538461538,4724.526036546818,public,1.35468486241786,103.936502887927
862 WOODLANDS ST 83,3806.451612903226,3990.366623050877,public,1.43995508428159,103.795048909553
862 YISHUN AVE 4,4041.3127413127413,4191.7330792330795,public,1.41717564266771,103.839341384551
862A TAMPINES ST 83,5120.192307692308,4922.123700489519,public,1.35506376155743,103.936507216423
863 JURONG WEST ST 81,4142.857142857143,4036.6248109920452,public,1.34927371415944,103.695305054804
863 TAMPINES ST 83,5099.181640277531,5367.112297139694,public,1.35545983628464,103.935614377579
863 WOODLANDS ST 83,4133.858267716535,4333.738678657023,public,1.44039723805835,103.795020327196
